"First Name","Last Name","SID","Email","section_name","Total Score","Max Points","Status","Submission ID","Submission Time","Lateness: (H:M:S)","View Count","1: Problem 1: Report Missing Values (1.0 pts)","2: Problem 2: Report and Replace -9 Values (1.0 pts)","3: Problem 3: Report and Replace Outliers (1.0 pts)","4: Problem 4: Grocery.Store.Sales (1.0 pts)","5: Problem 5: Two.Tone.Stripchart (1.0 pts)","6: Problem 6: Final.Grades (1.0 pts)","7: Problem 7: Exploring.the.Gamma.Distribution (1.0 pts)","8: Problem 8: Fitting.a.Gamma.Distribution.to.Data (1.0 pts)"
"Bob","Thompson",3243254312,"ssaafdsa@xzwwzxyy.com","ext-csci-Z-5a-98765",1,8,"Graded",8789676,"3/20/2021 14:52","00:00:00",5,0,0,0,0,0,1,0,0
"Geoffrey","Wilson",1554414434,"sdddddas@wyyywxyw.com","ext-csci-Z-5a-98765",2,8,"Graded",7699999,"3/16/2021 17:25","00:00:00",11,1,0,0,0,0,0,0,1
"Justin","Smith",1255442545,"fsaafadf@zzyyzxwy.com","ext-csci-Z-5a-98765",1,8,"Graded",9888886,"3/16/2021 12:26","00:00:00",2,0,0,0,1,0,0,0,0
"Meredith","Chambers",2211231232,"asaffdss@yzwxwwyw.com","ext-csci-Z-5a-98765",2,8,"Graded",6989996,"3/22/2021 10:20","00:00:00",5,0,0,0,0,0,1,1,0
"Geoffrey","Carter",5532124354,"ssaaaafs@zzxxwzyw.com","ext-csci-Z-5a-98765",1,8,"Graded",8967976,"3/22/2021 11:41","00:00:00",6,0,0,0,0,0,1,0,0
"Geoffrey","Parker",2533225435,"asdsfsaf@zxwyzyzz.com","ext-csci-Z-5a-98765",2,8,"Graded",6986986,"3/16/2021 17:58","00:00:00",12,1,0,0,0,0,1,0,0
"Justin","Wilson",3142443321,"fsadsdfa@yzyywxyw.com","ext-csci-Z-5a-98765",1,8,"Graded",7799969,"3/22/2021 15:55","00:00:00",12,0,0,0,0,1,0,0,0
"Carol","Thompson",2424223555,"sfsddsdd@xyzwzwxx.com","ext-csci-Z-5a-98765",2,8,"Graded",7768888,"3/22/2021 22:13","00:00:00",5,0,1,0,0,1,0,0,0
"Meredith","Jones",2243411541,"asfdddfd@wwzyyyyx.com","ext-csci-Z-5a-98765",0,8,"Graded",9666889,"3/20/2021 21:56","00:00:00",12,0,0,0,0,0,0,0,0
"Angela","Shorter",2231345533,"aaddadas@yzxxwzyx.com","ext-csci-Z-5a-98765",0,8,"Graded",9767869,"3/22/2021 18:31","00:00:00",6,0,0,0,0,0,0,0,0
