"first.name","last.name","SID","Email","section_name","Total.Score","Max.Points","Status","Submission.ID","Submission.Time","Lateness..H.M.S","View.Count","Problem 1","Problem 2","Problem 3","Problem 4","Problem 5","Problem 6","Problem 7","Problem 8"
"Bob","Carter",3433121535,"sdfadadf@wzywxzzz.com","ext-csci-Z-5a-98765",5,8,"Graded",6668988,"3/16/2021 20:38","00:00:00",10,1,1,1,1,1,0,0,0
"Angela","Smith",2114524112,"dfaaaadf@wxxzwzwz.com","ext-csci-Z-5a-98765",0,8,"Graded",8668866,"3/22/2021 15:22","00:00:00",3,0,0,0,0,0,0,0,0
"Bob","Parker",1251311254,"ffsafasd@ywxyyzxw.com","ext-csci-Z-5a-98765",2,8,"Graded",8898788,"3/20/2021 10:31","00:00:00",9,0,1,0,0,1,0,0,0
"Justin","Williams",2111522235,"daaaffss@yzzyxxwx.com","ext-csci-Z-5a-98765",0,8,"Graded",7889879,"3/19/2021 20:22","00:00:00",10,0,0,0,0,0,0,0,0
"Arturo","Jones",5423113535,"sffddffa@yyxywwxw.com","ext-csci-Z-5a-98765",1,8,"Graded",9677898,"3/16/2021 12:11","00:00:00",10,0,0,0,0,1,0,0,0
"Fatima","Carter",5344115124,"saffdafs@yxyywwzx.com","ext-csci-Z-5a-98765",4,8,"Graded",9988668,"3/22/2021 23:34","00:00:00",9,0,0,1,0,1,1,0,1
"Meredith","Williams",4555512333,"afssdfss@wzyxxwzx.com","ext-csci-Z-5a-98765",1,8,"Graded",8968678,"3/20/2021 22:10","00:00:00",2,0,0,0,0,0,1,0,0
"Emily","Carter",2311421441,"ddffdfsf@xyzzyzyx.com","ext-csci-Z-5a-98765",2,8,"Graded",7697976,"3/18/2021 23:20","00:00:00",1,0,0,1,0,1,0,0,0
"Emily","Chambers",3251253232,"dffasfaa@xzzzwzzx.com","ext-csci-Z-5a-98765",0,8,"Graded",7778876,"3/21/2021 16:35","00:00:00",9,0,0,0,0,0,0,0,0
"Emily","Davis",4345225341,"dfaddssf@zwxyxxxy.com","ext-csci-Z-5a-98765",2,8,"Graded",7767688,"3/20/2021 18:12","00:00:00",5,0,0,1,1,0,0,0,0
"Arturo","Shorter",4153144544,"affsdfsa@zwywyxzw.com","ext-csci-Z-5a-98765",0,8,"Graded",9998799,"3/20/2021 21:20","00:00:00",1,0,0,0,0,0,0,0,0
"David","Shorter",2435335551,"ssadfdsd@wyxxwyzx.com","ext-csci-Z-5a-98765",0,8,"Graded",6997986,"3/18/2021 10:50","00:00:00",0,0,0,0,0,0,0,0,0
"David","Smith",2115435313,"fasasafs@xxxxwzxz.com","ext-csci-Z-5a-98765",0,8,"Graded",8766797,"3/22/2021 16:27","00:00:00",1,0,0,0,0,0,0,0,0
"Emily","Jones",1222335412,"fafddfsa@yyyxyzyz.com","ext-csci-Z-5a-98765",2,8,"Graded",6976866,"3/16/2021 10:53","00:00:00",11,1,0,0,0,0,0,0,1
"Angela","Wilson",5314333452,"ffffffaf@xwxzwywz.com","ext-csci-Z-5a-98765",4,8,"Graded",8886879,"3/19/2021 10:15","00:00:00",7,1,0,1,0,0,1,0,1
"Justin","Shorter",5151114524,"sdfsaddf@wywwwxxz.com","ext-csci-Z-5a-98765",1,8,"Graded",9876879,"3/16/2021 18:42","00:00:00",0,0,0,0,0,0,0,1,0
"Meredith","Smith",3552452411,"dassasaa@wyyywwzw.com","ext-csci-Z-5a-98765",1,8,"Graded",8887988,"3/22/2021 12:26","00:00:00",6,0,0,1,0,0,0,0,0
"Geoffrey","Carter",5532124354,"sasssdss@wzxwyxxy.com","ext-csci-Z-5a-98765",1,8,"Graded",9679996,"3/17/2021 23:29","00:00:00",7,0,0,0,1,0,0,0,0
"Fatima","Chambers",1132222453,"ddfddfsf@zzwyxwzy.com","ext-csci-Z-5a-98765",1,8,"Graded",6997678,"3/18/2021 17:45","00:00:00",8,0,0,0,0,0,0,0,1
"Carol","Thompson",2424223555,"adsafdaf@zzwxwxyx.com","ext-csci-Z-5a-98765",0,8,"Graded",6887676,"3/17/2021 13:59","00:00:00",9,0,0,0,0,0,0,0,0
"Justin","Jones",5321555331,"aasfddss@xyyzyzyy.com","ext-csci-Z-5a-98765",1,8,"Graded",9799897,"3/16/2021 13:12","00:00:00",9,1,0,0,0,0,0,0,0
"Bob","Shorter",2423354543,"fsdfddfs@xxwyxwwx.com","ext-csci-Z-5a-98765",0,8,"Graded",6868798,"3/18/2021 19:28","00:00:00",5,0,0,0,0,0,0,0,0
"Justin","Parker",1312542131,"dsdsaadd@zzzwwwxx.com","ext-csci-Z-5a-98765",1,8,"Graded",7779987,"3/16/2021 17:46","00:00:00",12,0,0,0,0,0,1,0,0
"Carol","Parker",2521344514,"sffddsad@yzwyzxxz.com","ext-csci-Z-5a-98765",0,8,"Graded",7978777,"3/17/2021 18:23","00:00:00",8,0,0,0,0,0,0,0,0
"Bob","Davis",2113435413,"sdssaafd@xzzyxwww.com","ext-csci-Z-5a-98765",1,8,"Graded",9976796,"3/22/2021 16:53","00:00:00",1,0,0,0,1,0,0,0,0
"Emily","Williams",5223333322,"fsadadsf@xwyywzyz.com","ext-csci-Z-5a-98765",1,8,"Graded",9996868,"3/21/2021 12:28","00:00:00",5,0,1,0,0,0,0,0,0
"David","Davis",1131424522,"fdsfaafs@yxywzxzx.com","ext-csci-Z-5a-98765",0,8,"Graded",8986669,"3/22/2021 17:56","00:00:00",9,0,0,0,0,0,0,0,0
"Angela","Shorter",2231345533,"fafaddff@ywyzyywz.com","ext-csci-Z-5a-98765",0,8,"Graded",6968889,"3/18/2021 15:46","00:00:00",2,0,0,0,0,0,0,0,0
"David","Wilson",3444133143,"sffaffds@zywyxwzw.com","ext-csci-Z-5a-98765",1,8,"Graded",9767989,"3/17/2021 13:41","00:00:00",10,1,0,0,0,0,0,0,0
"Arturo","Wilson",2245321334,"saasdfda@yzwyzzyx.com","ext-csci-Z-5a-98765",1,8,"Graded",9766778,"3/22/2021 10:34","00:00:00",8,0,0,0,0,1,0,0,0
