"first.name","last.name","SID","Email","section_name","Total.Score","Max.Points","Status","Submission.ID","Submission.Time","Lateness..H.M.S","View.Count","Problem 1","Problem 2","Problem 3","Problem 4","Problem 5","Problem 6","Problem 7","Problem 8"
"Emily","Parker",3411234154,"sfsadssd@zzxzyzww.com","ext-csci-Z-5a-98765",4,8,"Graded",8766879,"3/21/2021 17:25","00:00:00",1,1,1,0,1,0,1,0,0
"Fatima","Davis",4152155442,"sfsasdfs@yxzyxwwy.com","ext-csci-Z-5a-98765",1,8,"Graded",9787999,"3/16/2021 11:47","00:00:00",4,1,0,0,0,0,0,0,0
"David","Wilson",3444133143,"dddfffaf@wzxxyywz.com","ext-csci-Z-5a-98765",0,8,"Graded",9796678,"3/22/2021 11:35","00:00:00",5,0,0,0,0,0,0,0,0
"Angela","Chambers",3242255225,"sfdsfsss@wwwzywxz.com","ext-csci-Z-5a-98765",0,8,"Graded",7687878,"3/18/2021 20:49","00:00:00",11,0,0,0,0,0,0,0,0
"Fatima","Parker",4353152313,"fsffsdfs@yxwxzxzw.com","ext-csci-Z-5a-98765",3,8,"Graded",9668978,"3/16/2021 18:30","00:00:00",0,0,0,1,1,0,0,1,0
"Meredith","Williams",4555512333,"ddsafsfs@yxyxxxyy.com","ext-csci-Z-5a-98765",2,8,"Graded",8977797,"3/20/2021 22:33","00:00:00",1,1,1,0,0,0,0,0,0
"Meredith","Shorter",1215244225,"sassffss@yzxxwzxx.com","ext-csci-Z-5a-98765",1,8,"Graded",8799787,"3/17/2021 10:43","00:00:00",7,0,0,1,0,0,0,0,0
"Carol","Davis",1142232245,"adaddddd@yyzyxxxx.com","ext-csci-Z-5a-98765",3,8,"Graded",6968796,"3/20/2021 22:45","00:00:00",2,0,0,1,1,0,1,0,0
"Bob","Chambers",3212231242,"aaasssad@yxwwyyyx.com","ext-csci-Z-5a-98765",0,8,"Graded",8878869,"3/20/2021 22:21","00:00:00",9,0,0,0,0,0,0,0,0
"Arturo","Wilson",2245321334,"daasadfs@zywyyxzy.com","ext-csci-Z-5a-98765",0,8,"Graded",8879666,"3/20/2021 21:20","00:00:00",7,0,0,0,0,0,0,0,0
"Angela","Williams",2134455533,"sasdffda@wyzyxxyz.com","ext-csci-Z-5a-98765",4,8,"Graded",6667678,"3/22/2021 13:13","00:00:00",12,1,1,0,0,1,0,1,0
"Carol","Shorter",3352121545,"adaafddf@wzzywzyz.com","ext-csci-Z-5a-98765",1,8,"Graded",6996878,"3/18/2021 11:28","00:00:00",4,0,0,0,1,0,0,0,0
"Emily","Wilson",2234454341,"dfdfssds@yywwzwxz.com","ext-csci-Z-5a-98765",0,8,"Graded",7866788,"3/20/2021 19:27","00:00:00",8,0,0,0,0,0,0,0,0
"Carol","Jones",3353255451,"dfsasasd@xyyzywxw.com","ext-csci-Z-5a-98765",0,8,"Graded",9866897,"3/22/2021 14:19","00:00:00",5,0,0,0,0,0,0,0,0
"Bob","Smith",5534211241,"ffsffaff@ywxxxzxx.com","ext-csci-Z-5a-98765",2,8,"Graded",8687878,"3/22/2021 22:55","00:00:00",10,0,0,1,1,0,0,0,0
"Meredith","Carter",4553223121,"addfsafa@zxxywyyz.com","ext-csci-Z-5a-98765",0,8,"Graded",7666979,"3/16/2021 12:37","00:00:00",12,0,0,0,0,0,0,0,0
"Geoffrey","Thompson",5323422515,"asdfasfd@wxwzyxxx.com","ext-csci-Z-5a-98765",3,8,"Graded",6877979,"3/18/2021 18:40","00:00:00",3,1,0,0,0,1,1,0,0
"Emily","Davis",4345225341,"saafffdf@wxwzwwzw.com","ext-csci-Z-5a-98765",2,8,"Graded",7866686,"3/17/2021 22:23","00:00:00",11,1,0,0,0,0,1,0,0
"Arturo","Williams",4134522521,"ddafsaaa@zwxxwwzz.com","ext-csci-Z-5a-98765",0,8,"Graded",8867767,"3/16/2021 22:48","00:00:00",4,0,0,0,0,0,0,0,0
"Fatima","Carter",5344115124,"assffsaa@zyxyzyzw.com","ext-csci-Z-5a-98765",0,8,"Graded",9869786,"3/19/2021 10:11","00:00:00",6,0,0,0,0,0,0,0,0
"Angela","Davis",3411553325,"safafsds@wyxwxwyx.com","ext-csci-Z-5a-98765",0,8,"Graded",9879777,"3/18/2021 13:31","00:00:00",0,0,0,0,0,0,0,0,0
"Justin","Thompson",2522232153,"ffaddsff@wxxzzyyz.com","ext-csci-Z-5a-98765",3,8,"Graded",6666776,"3/17/2021 13:43","00:00:00",11,0,0,1,0,1,0,0,1
"Geoffrey","Parker",2533225435,"ddfdasad@zzxyxyzy.com","ext-csci-Z-5a-98765",1,8,"Graded",8789769,"3/20/2021 20:23","00:00:00",7,0,0,0,0,0,0,1,0
"Bob","Jones",1521413523,"asdadffa@xzzyzzzz.com","ext-csci-Z-5a-98765",2,8,"Graded",7667696,"3/18/2021 13:25","00:00:00",3,0,0,0,1,0,0,0,1
"Arturo","Shorter",4153144544,"afffsafa@wyxywzww.com","ext-csci-Z-5a-98765",0,8,"Graded",8979676,"3/20/2021 13:48","00:00:00",12,0,0,0,0,0,0,0,0
"Bob","Shorter",2423354543,"sddaasda@xzxxyyzy.com","ext-csci-Z-5a-98765",0,8,"Graded",9697876,"3/22/2021 21:11","00:00:00",6,0,0,0,0,0,0,0,0
"Emily","Shorter",4131345341,"adaddddd@wywywzyw.com","ext-csci-Z-5a-98765",0,8,"Graded",8886987,"3/18/2021 14:58","00:00:00",1,0,0,0,0,0,0,0,0
"David","Jones",5424223131,"adsadffs@xyyzxwxx.com","ext-csci-Z-5a-98765",0,8,"Graded",6977986,"3/22/2021 11:38","00:00:00",10,0,0,0,0,0,0,0,0
"Fatima","Chambers",1132222453,"fdadfsdd@wxwxyyxw.com","ext-csci-Z-5a-98765",1,8,"Graded",8798999,"3/18/2021 14:55","00:00:00",12,1,0,0,0,0,0,0,0
"Emily","Chambers",3251253232,"ffasfafs@wxzyxzzx.com","ext-csci-Z-5a-98765",3,8,"Graded",9686976,"3/20/2021 11:22","00:00:00",6,0,1,1,0,0,0,0,1
